;LENGTH;BUILD YEAR;TOP SPEED;BEAM;GT;GUESTS;CREW;BROKER;CHARTER;Name:;Yacht Type:;Series, Model, Class:;Builder:;Naval Architect:;Exterior Designer:;Interior Designer:;Length Overall:;Length at Waterline:;Beam:;Max Draught:;Gross Tonnage:;Displacement Tonnage:;Year of Build:;Hull Number:;Hull Type:;Classification:;Max Speed:;Cruising Speed:;Fuel Capacity:;Water Capacity:;Engine Make:;Total power:;Hull:;Superstructure:;Deck:;Guests:;Passenger Rooms:;Master Rooms:;Double Rooms:;Twin Rooms:;Number of Decks:;Range:;;VIP Rooms:;Refits:;Single Rooms:;Triple Rooms:;Yacht Subtype:;Convertible:;Crew bunk beds:;Pullman Beds:;MCA Compliant:;Engine Model;Build time:
39;39.7 m;1976;13 kn;7.6 m;339;26;9;https://www.iyc.com/;;LA PERLA;Motor Yacht;;West-Wlaamse;;;Mare Placidum;39.7 metres;34.78 metres;7.6 metres;3.9 metres;339;350;1976;2059;Full Displacement;CRS;13 kn;10 kn;45000 litres;35000 litres;Bolnes;;Steel;Steel;Teak;26;13;;;;3;2700 nm;@ 10 kn;;2023-01-01;;;;;;;;;
40;29.87 m;2008;27 kn;6.85 m;162;9;6;https://iyc.com/yachts/koukles/;;KOUKLES;Motor Yacht;95;Azimut;;;;29.87 metres;24.63 metres;6.85 metres;1.89 metres;162;105;2008;95014;Deep V / Planing;;27 kn;22 kn;12000 litres;1800 litres;Caterpillar;3800hp;GRP;GRP;Teak;9;4;1;1;1;2;480 nm;@ 14 kn;1;;;;;;;;;;
41;40 m;2010;24 kn;7.5 m;279;10;6;https://www.iyc.com/;;H;Motor Yacht;40M;Dominator;;;;40 metres;;7.5 metres;2.8 metres;279;;2010;FR023;Semi Displacement;RINA;24 kn;18 kn;29000 litres;5000 litres;MTU;4800hp;Aluminium;Aluminium;Teak;10;5;;;;2;;;;;;;;;;;;;
42;44.17 m;2007;25 kn;9 m;458;12;10;https://www.iyc.com/;;BLISS;Motor Yacht;4400;Heesen Yachts;;;Omega Architects, Palmadottir;44.17 metres;36.3 metres;9 metres;2.5 metres;458;250;2007;138 44;Semi Displacement;ABS;25 kn;16 kn;69000 litres;16000 litres;MTU;7294hp;Aluminium;Aluminium;Teak;12;7;1;3;1;3;3200 nm;@ 12 kn;;2023-01-01;;;;;;;;;
43;49.95 m;2012;17 kn;8.6 m;498;12;9;https://www.iyc.com/;;ALI BABA;Motor Yacht;500;ISA;;;Francesco Paszkowski Design;49.95 metres;;8.6 metres;2.5 metres;498;;2012;500.2;Full Displacement;RINA;17 kn;12 kn;83000 litres;15000 litres;Caterpillar;4398hp;Steel;Aluminium;Teak;12;5;1;2;2;3;2200 nm;@ 14.5 kn;1;2023-01-01;;;;;;;;;
44;52.3 m;2023;15 kn;8.6 m;430;12;9;https://www.iyc.com/;;SCORPIOS;Sail Yacht;;Tramontana Yachts;;;;52.3 metres;;8.6 metres;3.5 metres;430;;2023;;Monohull;CRS;15 kn;10.5 kn;;;Baudouin;1500hp;Steel;Steel;Teak;12;6;1;2;2;;;;1;;;;;;;;;;
45;55 m;2003;16 kn;10.4 m;909;13;14;https://www.iyc.com/;;NEXT CHAPTER;Motor Yacht;;Benetti;;;Stefano Natucci;55 metres;48.45 metres;10.4 metres;3.12 metres;909;821;2003;FB 228;Full Displacement;LR;16 kn;14 kn;132000 litres;22500 litres;Caterpillar;3700hp;Steel;Aluminium;Teak;13;6;1;2;2;3;5000 nm;@ 12 kn;1;2023-01-01;;;;;;;;;
46;43.5 m;2023;14 kn;8.8 m;464;10;7;https://www.iyc.com/;;GISA;Motor Yacht;;Mengi-Yay;;;VYD Studio;43.5 metres;;8.8 metres;2.7 metres;464;420;2023;NB103;Semi Displacement;;14 kn;11 kn;;;Caterpillar;2030hp;Steel;Aluminium;Teak;10;5;;;;3;;;;;;;;;;;;;
47;26.82 m;2018;23 kn;6.12 m;115;8;3;https://www.worthavenueyachts.com/yachts-for-sale/gg/;;GG;Motor Yacht;88 SE;Ocean Alexander;;;;26.82 metres;22.06 metres;6.12 metres;1.8 metres;115;78;2018;88E22;Semi Displacement;;23 kn;18 kn;9463 litres;1325 litres;Caterpillar;3244hp;GRP;GRP;GRP,Teak;8;4;;;;2;;;;2019-01-01;;;;;;;;;
48;33.05 m;2020;20 kn;6.91 m;199;12;4;https://www.worthavenueyachts.com/yachts-for-sale/santosh/;;SANTOSH;Motor Yacht;Majesty 100;Majesty Yachts;;;;33.05 metres;26.63 metres;6.91 metres;1.68 metres;199;123;2020;100/09;Semi Displacement;RINA;20 kn;15.4 kn;15141 litres;3028 litres;MAN;3800hp;GRP;GRP;Teak;12;5;1;2;2;3;1500 nm;@ 12 kn;;2022-01-01;;;;;;;;;
